subject_id	subject_name	class_id	class_name	sample_id	sample_name
8	095-tv095	7	VAS_7	59	tv095t1afaff
8	095-tv095	6	VAS_6	60	tv095t2afaff
8	095-tv095	5	VAS_5	61	tv095t2aeunaff
9	109-ib109	2	VAS_2	62	ib109t1afunaff
9	109-ib109	4	VAS_4	63	ib109t1afaff
9	109-ib109	8	VAS_8	64	ib109t1aiaff
9	109-ib109	1	VAS_1	65	ib109t1aiunaff
9	109-ib109	5	VAS_5	66	ib109t2aeaff
9	109-ib109	4	VAS_4	67	ib109t1aeunaff
9	109-ib109	9	VAS_9	68	ib109t1aeaff
9	109-ib109	5	VAS_5	69	ib109t1aaaff
17	080-bn080	8	VAS_8	131	bn080t1afaff
17	080-bn080	8	VAS_8	132	bn080t1aaaff
17	080-bn080	2	VAS_2	133	bn080t1aiunaff
17	080-bn080	6	VAS_6	134	bn080t1aeunaff
17	080-bn080	5	VAS_5	135	bn080t1aeaff
17	080-bn080	1	VAS_1	136	bn080t1afunaff
17	080-bn080	3	VAS_3	137	bn080t1aaunaff
20	049-bm049	3	VAS_3	153	bm049t2afaff
20	049-bm049	3	VAS_3	154	bm049t1afaff
20	049-bm049	4	VAS_4	155	bm049t2aaunaff
20	049-bm049	4	VAS_4	156	bm049t2aeunaff
20	049-bm049	3	VAS_3	157	bm049t2aaaff
20	049-bm049	4	VAS_4	158	bm049t2afunaff
20	049-bm049	3	VAS_3	159	bm049t2aeaff
20	049-bm049	3	VAS_3	160	bm049t1aaaff
0	115-jy115	9	VAS_9	1	jy115t2aaaff
0	115-jy115	8	VAS_8	2	jy115t1aaaff
0	115-jy115	0	VAS_0	3	jy115t1aaunaff
0	115-jy115	9	VAS_9	4	jy115t2aeaff
0	115-jy115	8	VAS_8	5	jy115t1aeaff
2	066-mg066	4	VAS_4	14	mg066t1afaff
2	066-mg066	0	VAS_0	15	mg066t1afunaff
2	066-mg066	0	VAS_0	16	mg066t2aeunaff
2	066-mg066	1	VAS_1	17	mg066t2aaunaff
2	066-mg066	2	VAS_2	18	mg066t2afaff
2	066-mg066	4	VAS_4	19	mg066t2aeaff
2	066-mg066	4	VAS_4	20	mg066t1aaaff
2	066-mg066	2	VAS_2	21	mg066t1aeaff
5	064-ak064	1	VAS_1	39	ak064t1aiunaff
5	064-ak064	3	VAS_3	40	ak064t1aeunaff
5	064-ak064	8	VAS_8	41	ak064t1aiaff
5	064-ak064	10	VAS_10	42	ak064t1aaaff
5	064-ak064	2	VAS_2	43	ak064t1afaff
5	064-ak064	1	VAS_1	44	ak064t1afunaff
12	097-gf097	0	VAS_0	82	gf097t2aiunaff
12	097-gf097	6	VAS_6	83	gf097t2aaunaff
12	097-gf097	2	VAS_2	84	gf097t1afaff
12	097-gf097	3	VAS_3	85	gf097t1afunaff
12	097-gf097	2	VAS_2	86	gf097t2aeunaff
12	097-gf097	4	VAS_4	87	gf097t2afaff
12	097-gf097	2	VAS_2	88	gf097t1aeaff
12	097-gf097	4	VAS_4	89	gf097t1aaunaff
12	097-gf097	3	VAS_3	90	gf097t2afunaff
12	097-gf097	1	VAS_1	91	gf097t1aiunaff
12	097-gf097	1	VAS_1	92	gf097t2aiaff
12	097-gf097	1	VAS_1	93	gf097t1aiaff
12	097-gf097	2	VAS_2	94	gf097t1aeunaff
12	097-gf097	5	VAS_5	95	gf097t1aaaff
15	048-aa048	1	VAS_1	110	aa048t2aiaff
15	048-aa048	1	VAS_1	111	aa048t2afaff
15	048-aa048	0	VAS_0	112	aa048t2aiunaff
15	048-aa048	0	VAS_0	113	aa048t2aeunaff
15	048-aa048	0	VAS_0	114	aa048t2afunaff
15	048-aa048	2	VAS_2	115	aa048t2aeaff
15	048-aa048	0	VAS_0	116	aa048t2aaunaff
22	052-dr052	3	VAS_3	177	dr052t2aiaff
22	052-dr052	3	VAS_3	178	dr052t2aeaff
22	052-dr052	0	VAS_0	179	dr052t1aiunaff
22	052-dr052	2	VAS_2	180	dr052t1afaff
22	052-dr052	0	VAS_0	181	dr052t1afunaff
